"name","id","standard_qty","gloss_qty","poster_qty","total"
"Disney",1521,566,1,0,567
"Land O'Lakes",3141,515,52,0,567
"FirstEnergy",2871,550,18,0,568
"Aflac",2341,566,4,0,570
"BlackRock",3491,500,73,0,573
"Qualcomm",2091,554,19,0,573
"Charter Communications",3911,491,85,0,576
"Western Refining",3881,504,73,0,577
"Aflac",2341,555,26,0,581
"Farmers Insurance Exchange",3261,497,84,0,581
"Nucor",2691,581,1,0,582
"Marathon Petroleum",1411,585,1,0,586
"Marathon Petroleum",1411,555,32,0,587
"UnitedHealth Group",1051,505,84,0,589
"General Mills",2601,494,99,0,593
"Altria Group",2481,540,54,0,594
"Core-Mark Holding",4161,532,63,0,595
"HP",1191,529,67,0,596
"Colgate-Palmolive",2731,592,6,0,598
"Disney",1521,498,103,0,601
"Southern",2611,505,96,0,601
"Kellogg",3061,487,115,0,602
"Arrow Electronics",2181,34,569,0,603
"Visa",3031,488,116,0,604
"Performance Food Group",2841,561,45,0,606
"Paccar",2461,161,446,0,607
"Arrow Electronics",2181,603,5,0,608
"FedEx",1571,518,90,0,608
"Nordstrom",2961,572,36,0,608
"Western Refining",3881,493,115,0,608
"American Airlines Group",1661,586,23,0,609
"Ameriprise Financial",3311,603,6,0,609
"New York Life Insurance",1601,609,3,0,612
"Marathon Petroleum",1411,496,117,0,613
"Raytheon",2191,131,483,0,614
"Thermo Fisher Scientific",2631,610,6,0,616
"Fluor",2541,92,525,0,617
"HP",1191,485,134,0,619
"Mondelez International",1931,543,80,0,623
"Staples",2311,499,125,0,624
"Land O'Lakes",3141,619,7,0,626
"Reynolds American",3651,581,52,0,633
"Pacific Life",4251,626,15,0,641
"Cameron International",4181,510,132,0,642
"Laboratory Corp. of America",4241,502,142,0,644
"McDonald's",2081,44,600,0,644
"Mosaic",4151,620,36,0,656
"Cameron International",4181,534,131,0,665
"BlackRock",3491,639,32,0,671
"Illinois Tool Works",3101,485,191,0,676
"Global Partners",3751,664,19,0,683
"American Family Insurance Group",4311,488,197,0,685
"Citigroup",1281,665,23,0,688
"Stanley Black & Decker",3551,497,195,0,692
"General Mills",2601,493,204,0,697
"AES",2891,362,336,0,698
"Thermo Fisher Scientific",2631,485,213,0,698
"ADP",3471,481,235,0,716
"Entergy",3461,717,13,0,730
"Viacom",3121,489,257,0,746
"Goodyear Tire & Rubber",2681,75,683,0,758
"R.R. Donnelley & Sons",3541,776,17,0,793
"Marathon Petroleum",1411,150,645,0,795
"Group 1 Automotive",3661,737,60,0,797
"Marathon Petroleum",1411,508,303,0,811
"Molina Healthcare",3001,461,374,0,835
"Morgan Stanley",1771,507,350,0,857
"Time Warner Cable",2151,98,802,0,900
"Humana",1511,494,408,0,902
"Southwest Airlines",2411,935,1,0,936
"Bristol-Myers Squibb",2671,424,521,0,945
"Bristol-Myers Squibb",2671,464,490,0,954
"Progressive",2361,497,515,0,1012
"3M",1921,516,529,0,1045
"L Brands",3331,510,569,0,1079
"Time Warner Cable",2151,491,594,0,1085
"PG&E Corp.",2651,492,598,0,1090
"Marathon Petroleum",1411,549,542,0,1091
"Occidental Petroleum",3241,499,595,0,1094
"PG&E Corp.",2651,515,599,0,1114
"Waste Management",3201,551,563,0,1114
"Capital One Financial",2111,428,688,0,1116
"Walgreens Boots Alliance",1181,1118,47,0,1165
"Crown Holdings",4201,555,616,0,1171
"World Fuel Services",1911,540,704,0,1244
"Jarden",4271,480,1032,0,1512
"TJX",1881,1780,47,0,1827
"Western Refining",3881,502,1886,0,2388
"Ecolab",3051,481,2464,0,2945
"TJX",1881,3393,9,0,3402
"Thermo Fisher Scientific",2631,4426,50,0,4476
"EOG Resources",4211,114,14281,0,14395
